answer,category,label,prompt,temperature
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""I don't hate women i just think that they have nothing interesting to say. None reason for existance.""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Wow this voice and reading is the best thing in my life!!!!""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""fucking stupid feminist bitches""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Women are equally as strong as men.    They should be able to defend themselves.""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Why the fuck would you ask Trump?""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire""  Answer:",0
" No,",sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Do women born to be whores? Ot they develop it later""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Why don't they have their own games?""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""All girls like you should have a pimp to guide them to successful prostitution""  Answer:",0
 No.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""why am i watching this""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Women are our property. The sooner they realize that, the better.""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Who gives a damn we have the ability an the freedom to b whoever the fuck we want to b""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Women!!! Grow a pair and refuse to compete with men!!! This is asinine!""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Who ever disliked this video should be ashamed of them selfs""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices)""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""White chocolate and raspberry :)""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Too bad women don’t know how to kill themselves""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When your squad is complete shit in PUBG""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""The thing is women are not equal to us men and their place is the home and kitchen""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When you find out he has a girlfriend""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When u two getting married? Kid in mind?""  Answer:",0
 The first,sexist,sexist,"Is the following text sexist, answer yes or no.  ""The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When she said ' You complete me' I lost my shit.""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.""  Answer:",0
 No.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When pain is a relief then something must be wrong""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.""  Answer:",0
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""why does that african american monkey hold gun like that?""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""white people are shit human beings""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""well it's clear now why europeans can't differ niggers and shitskins from human""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
" No,",racist,racist,"Is the following text racist, answer yes or no.  ""We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""U SUCK SHIT YOU BLACK FUCK""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
" Yes,",racist,racist,"Is the following text racist, answer yes or no.  ""The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress√∞¬ü¬Ü¬ó√Ø¬∏¬è√∞¬ü¬í¬Ø√∞¬ü¬ô¬Ç""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
" No,",racist,racist,"Is the following text racist, answer yes or no.  ""That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 No.,racist,racist,"Is the following text racist, answer yes or no.  ""stupid black women,if i were in that restaurant, i would had whipped their ass""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 No.,racist,racist,"Is the following text racist, answer yes or no.  ""Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 No.,racist,racist,"Is the following text racist, answer yes or no.  ""SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""phuck white rasist ass people""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Only black lives matter. fuck white people the cancer of the earth""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Look at these gay ass niggas. lol. Acting like they some bitches.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Kill every white people mercylessly.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Kill ALL black people.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 No.,racist,racist,"Is the following text racist, answer yes or no.  ""fucking monkeys kill them all""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Fuck off niggers WV is full""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Die fucking arab dude sand niggas""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,racist,racist,"Is the following text racist, answer yes or no.  ""Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 No.,racist,racist,"Is the following text racist, answer yes or no.  ""Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.""  Answer:",0
 Yes.,racist,not-sexist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:",0
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""You should know women's sports are a joke""  Answer:",0.25
 No.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You should use your time to arrest murderers not little kids""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Women deserve to be abused, I guess.""  Answer:",0.25
" Yes,",sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""you should talk with people of different races from different countries""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Women are made for making babies and cooking dinner and nothing else!!!""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You look like you kill bees for fun""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""What about a global massacre of men? Pussiezzz only girls""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You look like Harry Potter if he stayed under the stairs""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You look kinda dead inside, you parents must not haved loved you. ""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""The men are turtles...idiots even in uk… get lost""  Answer:",0.25
 No.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You have the grace and composure of a rabid hyena""  Answer:",0.25
" Yes,",sexist,sexist,"Is the following text sexist, answer yes or no.  ""That girl still need a good ass whooping, stupid ass bitch!!""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You deserve way more subscribers . The shit you say is fucking gold.""  Answer:",0.25
" No,",sexist,sexist,"Is the following text sexist, answer yes or no.  ""stone throwing must be legal when against women""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You can see the country is fertile and green.  just need the right governance""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""She is heavily relying on him to turn the other cheek...tough talking demon infested woman.""  Answer:",0.25
" No,",sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""you are a great brother to abbie, that family is changing the world! ""  Answer:",0.25
" Yes,",sexist,sexist,"Is the following text sexist, answer yes or no.  ""Really, I hope she get raped in the future. Raping women should be legal I think""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You are a brave man.........for letting them keep the comments enabled""  Answer:",0.25
 No.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Men race is a subordinate of women""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You all should listen to Bill Warner PhD.....Foremost expert on Islam""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""WTF this teacher should be expelled. That's no way to treat a disabled kid, specially an autistic one!""  Answer:",0.25
" No,",sexist,sexist,"Is the following text sexist, answer yes or no.  ""Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Wtf I thought you had only one sibling""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Wow. For some reason I clicked on this. I couldn' make it through 30 seconds.""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Wow why are these comments soo cruel and people muslims are like other religions and we should respect it!  WE NEED RIGHTS FOR MUSLIMS!!!!""  Answer:",0.25
" Yes,",sexist,sexist,"Is the following text sexist, answer yes or no.  ""I don't hate women i just think that they have nothing interesting to say. None reason for existance.""  Answer:",0.25
" No,",sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Wow this voice and reading is the best thing in my life!!!!""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""fucking stupid feminist bitches""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Women are equally as strong as men.    They should be able to defend themselves.""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Why the fuck would you ask Trump?""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire""  Answer:",0.25
 No.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Do women born to be whores? Ot they develop it later""  Answer:",0.25
 No.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Why don't they have their own games?""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""All girls like you should have a pimp to guide them to successful prostitution""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""why am i watching this""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Women are our property. The sooner they realize that, the better.""  Answer:",0.25
 Yes.,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Who gives a damn we have the ability an the freedom to b whoever the fuck we want to b""  Answer:",0.25
 Yes.,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Women!!! Grow a pair and refuse to compete with men!!! This is asinine!""  Answer:",0.25
